id,subset,start_sec,end_sec,duration_sec,transcript_raw,source,audio_url
10300-000,train-ut,0.000,10.110,10.110,"아니우다 난 먹엇우다. 그것에만 밥 먹엉 되크녜. 배 불언? 응 저거 주머니에 그 담앙강, 밤이라도 강 어- 어머니신디 강",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-001,train-ut,10.110,13.040,2.930,"강 먹으라! 야, 알앗우다. 아 이제,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-002,train-ut,13.940,24.340,10.400,"저 양어멍신- 아버지신딘 안갈꺼? 어하하핫 갈거우다, 겐데, ㅎ.ㄴ 여섯 시민. 오ㄴ.ㄹ? 그디 갈거? 웨냐민 아이 그, 벵완 간덴 허난. 어.",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-003,train-ut,25.120,28.720,3.600,병원? 요세 아프고렌? 뭐 건 잘,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-004,train-ut,29.860,36.580,6.720,"어떠난 00이넨 만난... 응 외국엔가 누게... 사헤언,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-005,test-id,37.950,48.100,10.150,"전화번호 적어줜 야이 촞아왓어렌 그것이 인연이엔. 으으음... 야이가 몬저 촞아간 것이 아니고, 것도 소개받안 게난, 음... 아 ### ""인연은 인연이어 원",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-006,train-ut,48.100,58.280,10.180,"원 그런"" ""게메 말이우께"" ""경헹 아덜 하나 봉갓우다게."" ""견디 요새 아니 왐수다게"" 겅 허난, ""어딜 갓인디 원 나타나질 아니헴ㅅ우다게""",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-007,train-ut,59.830,62.060,2.230,"이제, 이제부떤, 인제, 게난",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-008,train-ut,62.970,65.270,2.300,이제부떤 그... 메주마다 오젠,elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-009,train-ut,66.050,71.160,5.110,"허멍... 엉. 야야, 우리 이디서 경헤도 걱정헷저이, 집 기냥, 이. 아 기꽈?",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
10300-010,train-ut,72.020,76.090,4.070,"00이네 밖거레가야 비엇덴 경허난 그뗀 누게가 000이 각시가 ㅎ.난,",elar_doreco,https://www.elararchive.org/uncategorized/SO_9ef8fb16-c472-4faa-bb7d-5e38fc7e01e3/
